"Zeitraum";"29.02.20 - 31.03.20";"";""
"";"";"";""
"";"";"Anzahl";"in Prozent"
"Total aller Anrufe";"";"3776";""
"";"";"";""
"Schicht";"Morgen (08.00)";"448";"11.86"
"";"ZD Morgen (08.00)";"0";"0.00"
"";"Vormit (10.00)";"368";"9.75"
"";"ZD Nachmittag (12.00)";"0";"0.00"
"";"Mittag (13.00)";"506";"13.40"
"";"Vorab (16.00)";"377";"9.98"
"";"Zwischendrin (17.00)";"351";"9.30"
"";"Abend (18.00)";"420";"11.12"
"";"Spät (21.00)";"479";"12.69"
"";"Nacht (23.00)";"476";"12.61"
"";"Umleiter";"330";"8.74"
"";"Chat Morgen (10.00)";"3";"0.08"
"";"Chat Nachmittag (14.00)";"5";"0.13"
"";"Chat Abend (18.00)";"1";"0.03"
"";"Mail-Beratung";"11";"0.29"
"";"Online-MO (10.00)";"0";"0.00"
"";"Online-SA-2 (14.00)";"0";"0.00"
"";"Angestel-Team";"1";"0.03"
"";"";"";""
"Geschlecht";"Weiblich";"1900";"69.22"
"";"Männlich";"838";"30.53"
"";"nicht bestimmbar";"7";"0.26"
"";"";"";""
"Alter";"bis 18 J.";"49";"1.79"
"";"19 - 40 J.";"506";"18.43"
"";"41 - 65 J.";"1123";"40.91"
"";"über 65 J.";"886";"32.28"
"";"nicht bestimmbar";"181";"6.59"
"";"";"";""
"Kontakthäufigkeit";"Erster Kontakt";"822";"29.95"
"";"Gelegentlicher, wiederholter Kontakt";"898";"32.71"
"";"Regelmässiger Kontakt";"700";"25.50"
"";"Vereinbarung";"325";"11.84"
"";"";"";""
"Beratungsinhalt";"Alltagsbewältigung";"1476";"28.62"
"";"Psychisches Leiden";"1074";"20.83"
"";"Sorge wegen Infektion";"326";"6.32"
"";"Körperliches Leiden";"309";"5.99"
"";"Einsamkeit";"484";"9.39"
"";"Familie / Erziehung";"224";"4.34"
"";"Beziehung allgemein";"166";"3.22"
"";"Paarbeziehung";"214";"4.15"
"";"Arbeit / Ausbildung";"193";"3.74"
"";"Existenzprobleme";"60";"1.16"
"";"Gewalt";"55";"1.07"
"";"Sexualität";"41";"0.80"
"";"Spiritualität / Lebenssinn";"67";"1.30"
"";"Suchtverhalten";"45";"0.87"
"";"Suizidalität";"58";"1.12"
"";"Verlust / Trauer / Tod";"60";"1.16"
"";"Verschiedenes";"303";"5.88"
"";"Medienerziehung/Swisscom";"2";"0.04"
"";"";"";""
"Zusätzliche Beanspruchung";"Verschobenes Gespräch";"612";"59.13"
"";"Schweigeanruf";"289";"27.92"
"";"Fehlanruf";"106";"10.24"
"";"Juxanruf";"20";"1.93"
"";"Ablehnung, ev. gesperrt";"8";"0.77"
"";"";"";""
"Sprache";"Deutsch";"30";"100.00"
"";"Français";"0";"0.00"
"";"";"";""
"Wohnregion";"Bern (Biel/Seeland/Berner Jura)";"0";"0"
"";"Aargau";"0";"0"
"";"Solothurn-Ost";"0";"0"
"";"Fribourg";"0";"0"
"";"Neuchâtel";"0";"0"
"";"Jura";"0";"0"
"";"Solothurn";"0";"0"
"";"Valais";"0";"0"
"";"unbekannt";"0";"0"
"";"Baselstadt";"0";"0"
"";"Baselland";"0";"0"
"";"";"";""
"Gesprächsdauer";"Aritmetisches Mittel";"00:15";""
"";"Median (Zentralwert)";"00:13";""
"";"";"";""
"Opferhilfe";"";"0";""
